a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.415219319,0.206592604,0.589944192,0.123141918,0.477807333,0.699473218,0.394356647,0.676002712,0.339592135,0.316121629,0.50910134,0.365670474,0.464768164,0.579512857,0.381317478,0.464768164,0.540395348,0.441297658,0.094455745,0.14400459,0.350023471,0.323945131,0.162259427,0.316121629,0.271788453,0.136181088,0.297866792,0.133573254,0.193553435,0.138788922
0.488238669,0.269180619,0.647316539,0.141396756,0.52214051,0.725551557,0.412611485,0.712512387,0.396964481,0.360454806,0.50910134,0.423042821,0.488238669,0.543003182,0.446513326,0.378709644,0.553434517,0.493454337,0.146612424,0.201376936,0.381317478,0.305690294,0.180514265,0.263964951,0.245710113,0.128357586,0.256141449,0.149220258,0.188337767,0.149220258
0.592552026,0.370886142,0.69425755,0.183122099,0.553434517,0.649924373,0.456944662,0.735982893,0.456944662,0.420434987,0.50910134,0.454336828,0.490846503,0.50910134,0.469983831,0.336984301,0.540395348,0.516924842,0.185729933,0.279611954,,0.297866792,0.198769102,0.224847442,0.206592604,0.128357586,0.224847442,0.157043759,0.177906431,0.167475095
0.626453867,0.441297658,0.662963542,0.235278777,0.602983362,0.597767694,0.498670005,0.68121838,0.511709174,0.467375997,0.475199499,0.496062171,0.43608199,0.477807333,0.472591665,0.310905962,0.503885673,0.52214051,0.253533615,0.336984301,,0.29004329,0.235278777,0.196161268,0.201376936,0.13096542,0.211808272,0.188337767,0.177906431,0.167475095
0.657747875,0.488238669,0.60819903,0.292651124,0.642100871,0.524748344,0.53517968,0.631669535,0.550826683,0.52214051,0.407395817,0.501277839,0.38914098,0.44912116,0.467375997,0.27700412,0.46216033,0.52214051,0.297866792,0.402180149,,0.29004329,0.263964951,0.162259427,0.201376936,0.154435926,0.193553435,0.211808272,0.125749752,0.193553435
0.722943723,0.566473687,0.553434517,0.37610181,0.678610546,0.46216033,0.582120691,0.592552026,0.592552026,0.589944192,0.355239138,0.501277839,0.329160799,0.417827153,0.443905492,0.256141449,0.415219319,0.514317008,0.360454806,0.433474156,,0.29004329,0.27700412,0.149220258,0.201376936,0.188337767,0.180514265,0.250925781,0.107494915,0.214416106
0.772492568,0.66817921,0.503885673,0.446513326,0.550826683,0.430866322,0.631669535,0.571689355,0.631669535,0.631669535,0.292651124,0.472591665,0.258749283,0.412611485,0.410003651,0.183122099,0.352631304,0.485630835,0.410003651,0.451728994,,0.29004329,0.313513795,0.138788922,0.201376936,0.23006311,0.180514265,0.27700412,0.110102749,0.243102279
0.678610546,0.717728055,0.44912116,0.516924842,0.501277839,0.394356647,0.670787044,0.53517968,0.683826214,0.662963542,0.224847442,0.44912116,0.21702394,0.412611485,0.352631304,0.151828092,0.29004329,0.443905492,0.46216033,0.451728994,,0.292651124,0.334376467,0.141396756,0.201376936,0.256141449,0.175298597,0.310905962,0.128357586,0.266572785
0.623846033,0.587336358,0.360454806,0.592552026,0.459552496,0.368278308,0.709904553,0.514317008,0.74119856,0.691649716,0.193553435,0.404787983,0.167475095,0.420434987,0.305690294,0.11792625,0.261357117,0.407395817,0.459552496,0.44912116,,0.292651124,,0.146612424,0.20398477,0.29004329,0.175298597,,0.146612424,0.292651124
0.527356178,0.490846503,0.326552965,0.691649716,0.423042821,0.347415637,0.657747875,,0.66817921,0.75423773,0.14400459,0.350023471,0.128357586,0.423042821,0.245710113,0.115318417,0.235278777,0.347415637,0.451728994,0.420434987,,0.313513795,,0.149220258,0.224847442,,0.180514265,,0.170082929,0.321337297
0.438689824,0.36306264,,0.762061232,,,0.605591196,,0.613414698,0.662963542,0.13096542,0.295258958,0.112710583,0.423042821,0.193553435,0.120534084,0.224847442,0.271788453,0.410003651,0.383925312,,0.329160799,,0.164867261,0.240494445,,0.190945601,,0.193553435,
0.368278308,0.29004329,,0.835080582,,,0.550826683,,0.543003182,0.582120691,0.123141918,0.219631774,0.107494915,0.446513326,0.149220258,0.151828092,0.224847442,0.21702394,0.370886142,0.334376467,,0.342199969,,0.175298597,0.253533615,,0.201376936,,0.240494445,
0.310905962,0.222239608,,0.629061701,,,0.514317008,,0.501277839,0.514317008,0.146612424,0.13096542,0.120534084,0.488238669,0.11792625,0.183122099,0.227455276,0.177906431,0.305690294,0.297866792,,0.355239138,,0.193553435,0.269180619,,0.222239608,,0.295258958,
0.271788453,0.159651593,,0.506493506,,,0.464768164,,0.464768164,0.44912116,0.172690763,0.089240077,0.151828092,0.506493506,0.091847911,0.209200438,0.258749283,0.157043759,0.248317947,0.250925781,,,,0.214416106,0.292651124,,0.240494445,,,
0.243102279,,,0.342199969,,,0.410003651,,0.404787983,0.381317478,0.227455276,0.089240077,0.193553435,,0.097063579,0.243102279,0.27700412,0.14400459,0.222239608,0.193553435,,,,0.232670944,0.331768633,,0.253533615,,,
,,,0.269180619,,,0.378709644,,0.350023471,0.323945131,0.27700412,0.099671413,0.250925781,,0.104887081,0.282219788,0.336984301,0.141396756,0.164867261,0.151828092,,,,0.245710113,0.350023471,,0.282219788,,,
,,,0.209200438,,,,,0.305690294,0.30308246,0.323945131,0.149220258,0.300474626,,0.133573254,,0.37610181,0.154435926,0.115318417,0.128357586,,,,,,,,,,
,,,0.146612424,,,,,0.27700412,,,0.198769102,0.342199969,,0.167475095,,0.378709644,0.177906431,0.097063579,0.110102749,,,,,,,,,,
,,,0.107494915,,,,,,,,0.235278777,0.36306264,,0.219631774,,,0.219631774,0.099671413,0.081416575,,,,,,,,,,
,,,,,,,,,,,0.287435456,,,0.250925781,,,0.245710113,0.120534084,0.073593074,,,,,,,,,,
,,,,,,,,,,,0.339592135,,,,,,0.287435456,0.151828092,0.084024409,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.318729463,0.198769102,0.110102749,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.248317947,0.136181088,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.167475095,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.206592604,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.240494445,,,,,,,,,,
